,"begreppTerm
","synonym
","utländskTerm          
",utländskDef,begreppID,kontextBeskriv,"beställare
",bestNamn,bestEmail,bestTele,"bestDate
","definition
",beskrivning,"status
","versionsNR
","källa
",anmärkning,"kommentarHandlaggning
",Unnamed: 18,Unnamed: 19
82,hälso- och sjukvårdsdata,,,,,,,,,,,data (3.9.1) som producerats under hälso- och sjukvårdsaktiviteter (7.2),,Klar,2019-12-10,Contsys SE,Anmärkning 1     Hälso- och sjukvårdsaktivitet definieras i 7.2.,,,
83,hälso- och sjukvårdsinformation,,,,,,,,,,,information (3.9.5) som skapats i hälso- och sjukvårds verksamhet.,,Klar,2019-12-10,VGR: (förslag Contsys-revision till ISO),,,,
84,information,,,,,,,,,,,kunskap som gäller objekt och som i ett visst sammanhang har en viss betydelse,,Klar,2019-12-10,"ISO/IEC 2382:2015/Contsys SE, definitionen i ISO-standarden ändrad i engelska Contsys","Anmärkning 1     Fakta, händelser, saker, processer och idéer, inklusive begrepp, är exempel på objekt.

Anmärkning 2     Information är något som har betydelse. Data kan betraktas som information när dess betydelse uppdagas.

Anmärkning [VGR]: I strikt mening är det skillnad mellan data och information. Data blir information när någon har tolkat innebörden av dem. Många gånger behöver man inte hålla isär termerna data och information men t.ex. vid överföring mellan datorer eller lagring i datorminnen är det data, inte information, som hanteras.",,,
85,informationsmodell,,,,,,,,,,,"formell modell för en avgränsad uppsättning fakta, begrepp (3.2.1) eller anvisningar med syftet att uppfylla ett angivet krav",,Klar,2019-12-10,"ISO 10303-1:1994, 3.2.21/Contsys SE",,,,
86,elektronisk hälsojournal,,,,,,,,,,,register (23.9.2.1) med information (3.9.5) om en patients (5.26.1) hälsa (2.1) och hälso- och sjukvård (3.1.1) som ges i ett format som kan bearbetas av datorer,,Klar,2019-12-10,ISO 13606-2:2008/Contsys SE definitionen ändrad från ISO-standarden i engelska Contsys,,,,
87,medium,,,,,,,,,,,material på vilket data (3.9.1) lagras,,Klar,2019-12-10,ISO/IEC 14776-151:2010/Contsys SE,"Anmärkning 1 [VGR] : definitionen i den engelska upplagan EN ISO 13940 är ändrad från texten i ISO/IEC 14776-151:2010. Den svenska definitionen är en direkt översättning av den engelska texten i EN ISO 13940.

Exempel 1      En magnetskiva",,,
88,hälso- och sjukvårdsaktör,,,,,,,,,,,organisation (3.3.1) eller person (3.3.4) som medverkar i hälso- och sjukvård (3.1.1),,Klar,2019-12-10,Contsys SE,,,,
89,patient,,,,,,,,,,,"hälso- och sjukvårdsaktör (5.2) med en personroll (3.3.6), som söker, erhåller eller har erhållit hälso- och sjukvård (3.1.1)",,Klar,2019-12-10,VGR (förslag till Contsys-revidering),,,,
90,närstående,,,,,,,,,,,"person (3.3.4) som patienten uppger sig ha en nära relation till

Alternativ definition     person som den enskilde anser sig ha en nära relation till (Socialstyrelsens termbank) ",,Klar,2019-12-10,socialstyrelsens termbank (förslag till constsys-revision),"Anmärkning 1     Contsystermen närstående är homonym i det svenska sammanhanget. Socialstyrelsen skiljer mellan närstående (se Socialstyrelsens definition) och anhörig som är nära släkt. Också i svensk lag vacklar dessa begrepp, men Socialstyrelsens termbank gör det naturligt att man i Sverige skiljer mellan dessa begrepp. Därför inkluderas termposten anhörig i begreppssystemets komplettering (se den termposten). 

Anmärkning 2     Termposten är en översättning av Contsys
 EN next of kin som förklaras i Wikipedia som en ""person's closest living blood relative"". Detta är stadfäst i Förenta staternas och en del andra länders lagstiftning, varvid termen borde översättas ""anhörig"". I andra länder, som exempel nämns Storbritannien, finns ingen lagstadgad definition, och där används termen också när blodsband inte föreligger. Det danska ordet pårørende förklaras i Dansk ordbog: ""person som tilhører den nærmeste familie eller på anden måde er nært knyttet til en person der er syg, har været ude for en ulykke el.lign"". Pårørende är alltså i allt väsentligt detsamma som Contsys närstående/next of kin.",,,
91,vårdutförare,,,,,,,,,,,roll (3.3.5)inom hälso- och sjukvård (3.1.1) som kan tilldelas ett eller flera mandat för vårdperiod (11.2.2),,Klar,2019-12-10,VGR (förslag till Contsys-revidering),"Anmärkning 1: Vårdutförare kan inkludera både hälso- och vårdutförare med särskild behörighet och andra som deltar i tillhandahållandet av hälso- och sjukvård.

Anmärkning 2: Denna internationella standard inkluderar endast två specialiseringar av vårdutförare. Avsikten med detta är inte att utesluta möjligheten till andra specialiseringar. Inom lagstiftningsområden där andra typer av hälso- sjukvårdsaktörer ingår i begreppet vårdutförare får de nödvändiga specialiseringarna läggas till. 

Anmärkning 3: Enligt denna definition är organisationer som endast har ansvar för finansiering. betalning eller ersättning för tillhandahållandet av hälso- och sjukvård inte vårdutförare, utan anse för ändamålet med denna Internationella Standard vara hälso- och sjukvårdstredjeparter.",,,
92,hälso- och sjukvårdsorganisation,,,,,,,,,,,hälso- och sjukvårdsutförare (5.2.3) som har en organisatorisk roll (3.3.7),,Klar,2019-12-10,Contsys SE ,"Anmärkning 1: Grupperingar eller undergrupper av en organisation, såsom avdelningar eller underavdelningar, kan också betraktas som organisationer om det finns behov av att identifiera dem. En organisations inre struktur beskrivs av dess organisatoriska mönster. Därför kan en organisation i sig betraktas som en fristående organisation eller som en överordnad struktur vilken innehåller avdelningar och underavdelningar, till exempel andra organisationer på lägre nivå. En hälso- och sjukvårdsorganisation har den roll varje sådan organisation har när den deltar i direkt tillhandahållande av hälso- och sjukvårdsaktiviteter

Anmärkning 2: I praktiken förlitar sig en hälso- och sjukvårdsorganisation på den aktivitet som utförs av hälso- och sjukvårdspersonal, oavsett om dessa är anställda eller kontrakterade uppdragstagare, eller med tillfälligt informella men funktionella förhållanden sinsemellan. Ett hälso- och sjukvårdsteam som arbetar tillsammans, till exempel i en specifik typ av klinisk process med deltagare från olika avdelningar, är också en typ av hälso- och sjukvårdsorganisation

Anmärkning 3: En fristående, ensampraktiserande person som hälso- och sjukvårdsprofessionell aktör ska betraktas som den enda medlemmen i sin egen hälso- och sjukvårdsorganisation.

Anmärkning 4: Organisationer kan ha ett antal olika roller. När en organisation agerar i en roll där dess hälso- och sjukvårdspersonal deltar i direkt tillhandahållande av hälso- och sjukvård kallas den för en hälso- och sjukvårdsorganisation.

Anmärkning VGR: Begreppet hälso- och sjukvårdsorganisation behöver i egenskap av organisation inte ha men kan ha en administrativ avgränsning. Det finns informellt skapade hälso- och sjukvårdsorganisationer liksom formellt avgränsade organisatoriska enheter som är administrativt definierade. Se exemplen!

Exempel 1:  Ett vårdteam, en gruppraktik, ett sjukhus, en sjukhusavdelning, en vårdenhet, allmänläkare med eget företag.",,,
93,anställning inom hälso- och sjukvård,,,,,,,,,,,kontrakt mellan en hälso- och sjukvårdspersonal (5.2.3.3) och en hälso- och sjukvårdsorganisation (5.2.3.1) som beskriver de roller (3.3.5) och ansvar som tilldelas denna hälso- och sjukvårdspersonal (1.1.3),,Klar,2019-12-10,Contsys SE ,"Alternativ definition     kontrakt mellan en hälso- och sjukvårdspersonal och en vårdgivare som beskriver de roller och ansvar som tilldelas denna hälso- och sjukvårdspersonal (FVM)

Anmärkning 1     Det finns ett formfel i Contsysdefinitionen. En hälso- och sjukvårdsorganisation har ingen rättslig status, är rätt och slätt en organisation. I det svenska sammanhanget finns begreppet vårdgivare, som definieras separat (se den termposten) av såväl Socialstyrelsen som FVM och alltid är en juridisk person (eller enskild näringsidkare). Endast en sådan kan anställa. 
",,,
94,hälso- och sjukvårdspersonal,,,,,,,,,,,person (3.3.4) som i sitt yrke utför hälso- och sjukvård (3.1.1),,Klar,2019-12-10,VGR (förslag till Contsys-revision),"Anmärkning 1 VGR anmärkning: Begreppet inkluderar i Sverige legitimerad personal och personal som endast genom sin anställning erhåller mandat att utföra hälso- och sjukvård. Hälso- och sjukvårdspersonal arbetar alltid för en vårdgivare som kan vara en offentlig förvaltning (landsting eller enligt delegation sjukhus/primärvådsförvaltning etc.) eller en privat vårdgivare, t.o.m. ett enmansföretag (t.ex. ensamarbetande privatläkare eller fysioterapeut). Därför kan en hälso- och sjukvårdspersonal vara deltagare i en hälso- och sjukvårdsorganisation, är alltid anställd av en vårdgivare och kan arbeta vid en eller flera vårdenheter. Contsys definition stämmer inte med det svenska sammanhanget, eftersom en hälso- och sjukvårdspersonal behåller denna roll också när hon eller han agerar utanför en hälso- och sjukvårdsorganisation (t.ex. har legitimerad personal sitt yrkesansvar även utanför arbetstid och utan att vara anställd av en vårdgivare)",,,
95,vårdutförare med särskild behörighet,,,,,,,,,,,hälso- och sjukvårdspersonal (5.2.3.3) som innehar behörighet/legitimation inom hälso- och sjukvård (3.1.1) som är giltig inom ett specificerat juridiskt sammanhang,,Klar,2019-12-10,VGR (förslag till contsys-revision),"Anmärkning 1 : Behörigheten för en vårdutförare med särskild behörighet ger rätt att tillhandahålla hälso- och sjukvård oberoende av roll i en hälso- och sjukvårdsorganisation.

Anmärkning 2   VGR : I contsys är behörighet enligt lag definierad och avser en behörighet att agera utan samtycke (se den termposten, 11.2.9) 

Anmärkning 3 VGR: Särskild behörighet kan även inkludera att arbeta på delegation. Det vill säga utökad mandat som uppdrag.

Exempel 1: Allmänläkare, överläkare, fysioterapeut, tandläkare, sjuksköterska, röntgenläkare, osv.",,,
96,yrkesbevis inom hälso- och sjukvård,,,,,,,,,,,registrerad behörighet (31.6) som tilldelats en person (3.3.4) och som ger personen (1.1) behörighet (6.4.5) att inneha eller utöva specifika roller (3.3.5) inom hälso- och sjukvården (3.1.1),,Klar,2019-12-10,Contsys SE ,"Anmärkning 1     Behörigheten styrks vanligen av bevisför att vederbörande har fått eller håller på att få de nödvändiga kvalifikationerna, den relevanta utbildningen och färdighetsträningen.

Anmärkning 2     Den officiella behörigheten för hälso- och sjukvårdsprofessionell aktör utgör grunden för den hälso- och sjukvårdsprofessionella aktörens officiella skyldigheter och rättigheter.

Exempel 1     Examens- eller utbildningsbevis, legitimation (till exempel legitimerad sjuksköterska).",,,
97,delegation,,,,,,,,,,,överlåtelse av befogenhet,,Klar,,VGR (förslag till contsys-revision ???),Anmärkning 1     befogenhet kan överföras för specifik subprocess och/eller en viss tidsperiod.,,,
98,tredjepart inom hälso- och sjukvård,,,,,,,,,,,"person (3.3.4) eller organisation (3.3.1) som inte är patient (5.2.1) , närstående (5.2.2) , vårdutförare (5.2.3) eller hälso- och sjukvårdspersonal (5.2.3.3)",,Klar,2019-12-10,VGR (förslag till Contsys-revision),,,,
99,annan vårdare,,,,,,,,,,,tredjepart inom hälso- och sjukvård (5.2.4) som har en personroll (3.3.6),,Klar,2019-12-10,Contsys SE ,"Exempel 1     En släkting (familjemedlem), en granne.",,,
100,"stödorganisation inom hälso- och sjukvård
",hälso- och sjukvårdsstödjande organisation,,,,,,,,,,tredjepart inom hälso- och sjukvård (5.2.4) som har en organisatorisk roll (3.3.7),,Klar,2019-12-10,Contsys SE ,"Anmärkning VGR: Vad som avses är en organisation som inte ingår i hälso- och sjukvården men engagerar sig till stöd för verksamheten och direkt eller indirekt ger stöd åt patienterna, eventuellt en viss patient.

Exempel 1: Frivillig hjälporganisation, en organisation för hemtjänst, en sjukförsäkringsorganisation, driftsorganisation för ett telemedicinsystem, familj.",,,
101,"patientens representant
","patientens företrädare, patientens ombud",,,,,,,,,,tredjepart inom hälso- och sjukvård (5.2.4) som har personroll (3.3.6) med rätt att fatta beslut för patientens (5.2.1) räkning,,Klar,2019-12-10,Contsys SE ,"Anmärkning 1: I ISO/TS 21298 är vårdtagaragent den rekommenderade termen för detta begrepp.

Anmärkning 2 VGR: Beskrivning finns i NI men inte i definitionsform. Där räknas i stället olika typer av företrädare upp, vilka i detta begreppssystem visas som specialiseringar. I upphandlingen av kärnsystem har FVM valt termen företrädare som dels används av NI, dels var den översättning av Contsys som gjordes av 3R-gruppen.

Anmärkning 3: Varje företrädare ska ha ett uppdrag med befogenhet att företräda patienten, ett mandat. Det grundar sig vanligen på ett samtycke, som är implicit i det att patienten ger företrädaren uppdraget. Det kan också grunda sig på ett myndighetsbeslut om en företrädare är nödvändig (förmyndare för barn där vårdnadshavaren inte kan vara förmyndare) eller patienten motsätter sig att få en företrädare. Myndighetsbeslut grundar sig på gällande lag och är inte ett separat begrepp utan ingår i begreppssystemet som begreppet bemyndigande enligt lag.",,,
102,hälso- och sjukvårdsangelägenhet,,,,,,,,,,,"representation av en angelägenhet, som är relaterad till en patients (5.26.1) hälsa (2.1) och/eller tillhandahållandet av hälso- och sjukvård (3.1.1) till denna patient (5.2.1) , såsom den identifierats av en eller flera hälso- och sjukvårdsaktörer (5.2)",,Klar,2019-12-10,Contsys SE,,,,
103,hälsoangelägenhet,,,,,,,,,,,"identifierad angelägenhet relaterad till en patients (5.26.1) hälsotillstånd (6.4)

Alternativ definition     
hälsoförhållande som utan att utgöra ett hälsoproblem kan föranleda patient att utfärda vårdbegäran för egen räkning (FVM)",,Klar,2019-12-10,Contsys SE ,"Förklaring     Även en frisk person kan behöva söka vård för vaccination, friskintyg för körkort, flygning etc. eller hälsokontroll. Mödravård och verksamheten vid barnavårdscentraler är också exempel när en patient utan hälsoproblem behöver söka vård. Screeningundersökningar i befolkningen grundar sig också på hälsoangelägenhet och inte hälsoproblem. 
",,,
104,hälsotillstånd,,,,,,,,,,,nivå av välbefinnande ur olika perspektiv,,Klar,2019-12-10,VGR (förslag till Contsys-rev),"Anmärkning 1: Hälsa definieras av WHO som ett tillstånd av fullständig fysiskt, psykiskt och socialt välbefinnande, inte enbart frånvaro av sjukdom och funktionsnedsättning. Hälsa kan alltså inte anges vara av olika grad eftersom den alltid är fullständig. Välbefinnande kan däremot variera. Om det är fullständigt får det kallas hälsa.

Anmärkning 2: I ICF (Klassifikation av funktionstillstånd, funktionsnedsättning och hälsa) från WHO beskrivs begreppet hälsa. I ICF identifieras fem hälsokomponenter: kroppsfunktion, kroppsstruktur, aktivitet, delaktighet och omgivningsfaktorer.

Anmärkning 3: En diagnos är ett sätt att beskriva och beteckna vissa typer av hälsotillstånd.

Anmärkning 4: Ur ett hälso- och sjukvårdsperspektiv används termen hälsotillstånd ofta för att beteckna ett farligt eller skadligt tillstånd (sjukdomar, störningar, personskador, osv.), eftersom de kan utföra motiv för vissa hälso- och sjukvårdsaktiviteter.
",,,
